"","OBJECTID","ID_DEPA","ID_PROV","P_NOMB","P_CAPIT","ID_DEPNOM","Poblacion","ranking1","IDH","ranking2","EVN","ranking3","POB_ESC","ranking4","POREDAD_25","ranking5","ING_PROMED","ranking6"
"185","771","23","2302","CANDARAVE","CANDARAVE","TACNA",8435,190,0.352791199133,91,70.8712558536,137,62.9026166389,50,7.18517783111,88,324.861518432,118
"186","772","23","2303","JORGE BASADRE","LOCUMBA","TACNA",9641,188,0.631487980083,4,73.8581962163,82,66.3716108772,40,10.4847996686,8,1231.46252559,1
"187","773","23","2304","TARATA","TARATA","TACNA",7987,193,0.331755422385,107,77.6320796454,24,71.3999692021,25,8.04956916966,60,218.038249447,170
"188","774","24","2401","TUMBES","TUMBES","TUMBES",159548,33,0.526581625689,21,79.1176943211,15,66.7988958187,36,9.54842424653,26,695.965552878,28
"189","775","24","2402","CONTRALMIRANTE VILLAR","ZORRITOS","TUMBES",19180,175,0.50504769417,31,75.5460061307,56,60.9291538426,54,8.22312756264,56,753.020479463,19
"190","776","24","2403","ZARUMILLA","ZARUMILLA","TUMBES",49499,127,0.454005672185,52,74.7862640804,67,59.4206409512,59,8.69243249278,45,552.644635439,59
"191","777","25","2501","CORONEL PORTILLO","PUCALLPA","UCAYALI",366040,12,0.468102265826,47,74.2387005484,76,56.7461392577,67,9.22641733051,33,600.548894652,44
"192","778","25","2502","ATALAYA","ATALAYA","UCAYALI",50569,125,0.261179711253,162,62.0599899805,187,22.9978080636,183,6.23983145132,122,300.154435637,131
"193","779","25","2503","PADRE ABAD","AGUAYTIA","UCAYALI",56756,111,0.37283676012,82,78.7725380522,17,38.7314340458,121,7.19323601953,87,406.664845821,88
"194","780","25","2504","PURUS","ESPERANZA","UCAYALI",4251,195,0.286225721253,138,68.6087100703,157,17.4307302613,191,7.23347631874,86,342.941627269,105
